(27560,1993)
(28716,18395)
(30905,16149)
(7947,27703)
(27387,29570)
(25706,26478)
(15768,15395)
(8538,25440)
(19392,15610)
(2348,10279)
(22254,9251)
(31191,8945)
(17005,1871)
(13211,20239)
(10266,13684)
(13284,13641)
(10859,20675)
(14193,30069)
(10160,17627)
(10165,3656)
(12953,27964)
(30590,22379)
(29689,32766)
(13012,25041)
(22985,4291)
(17956,12873)
(14192,16362)
(16542,2639)
(15170,27141)
(5595,13096)
(23878,27533)
(8899,32558)
(11068,19669)
(31150,30056)
(5598,27197)
(14793,23389)
(9063,27816)
(30140,4394)
(11090,9776)
(28041,29651)
(32612,10008)
(8119,14807)
(9708,7937)
(30129,32263)
(2378,24161)
(3945,27799)
(16558,3122)
(29248,18038)
(22050,25575)
(7978,11995)
(11723,4004)
(21517,30497)
(29291,29358)
(31851,23764)
(11051,30753)
(5441,28172)
(24216,14817)
(2095,2041)
(26347,5074)
(16856,9152)
(23437,30540)
(1932,25989)
(13274,4809)
(20517,8649)
(1830,8673)
(9262,19703)
(3581,31097)
(18763,2361)
(18607,9271)
(15572,18064)
(28428,9017)
(16836,10532)
(3437,9990)
(1490,10713)
(29428,21700)
(8669,9506)
(21780,27564)
(31117,19482)
(19539,24252)
(15928,11217)
(3662,13995)
(6402,16099)
(2302,20514)
(16457,15696)
(17211,18985)
(31808,7815)
(9854,14560)
(24281,452)
(5611,28783)
(13033,28828)
(30351,31807)
(26247,12247)
(3302,5739)
(29876,4733)
(21408,13169)
(4674,819)
(12196,30254)
(8686,14280)
(9558,8201)
(13264,17164)
(29461,20846)
(5109,30945)
(13576,11902)
(11338,22676)
(30235,15364)
(15803,29037)
(21060,2219)
(13469,30084)
(3595,30319)
(7241,28375)
(18249,14418)
(30218,19098)
(9008,22608)
(30522,11982)
(7563,22932)
(29351,19989)
(23879,19180)
(28988,11717)
(12851,23931)
(15837,4667)
(8196,21422)
(26770,1394)
(6812,23665)
(1256,11220)
(22412,11938)
(10132,23375)
(22743,30917)
(26458,10412)
(5369,30970)
(25901,24348)
(24615,20781)
(8088,5652)
(31449,27533)
(5468,22875)
(27014,831)
(31579,5986)
(31150,9555)
(2484,18899)
(6174,15863)
(9264,3180)
(23664,1514)
(25053,5646)
(28113,25652)
(14328,18449)
(9479,6165)
(19472,18395)
(4018,16187)
(12649,22193)
(14545,3127)
(5535,23500)
(23177,16690)
(8331,21680)
(23842,17116)
(2922,8121)
(18259,22438)
(13116,21751)
(959,26417)
(10859,8508)
(8127,19974)
(3501,22386)
(26466,6535)
(8235,11314)
(690,16422)
(29411,20371)
(30777,10708)
(6987,22848)
(14532,7356)
(15671,15054)
(6247,25138)
(27644,11340)
(22721,14310)
(9942,18203)
(10369,24926)
(29831,17152)
(15401,28067)
(25153,2423)
(25619,1338)
(27078,4938)
(17329,21589)
(718,17507)
(3608,25931)
(25513,14814)
(27584,32582)
(13605,15971)
(28037,23867)
(15794,22707)
(12530,20768)
(18372,10368)
(6591,10073)
(18297,1410)
(17560,24179)
(892,5319)
(5921,1812)
(17705,18507)
(4406,24626)
(21490,31944)
(17271,900)
(16385,10703)
(3844,13878)
(16414,22552)
(4741,12769)
(9940,21015)
(26734,31162)
(13007,17103)
(6785,4106)
(16009,14059)
(28308,8158)
(4902,13323)
(28820,28415)
(25244,23132)
(24010,11300)
(11542,17515)
(21853,28007)
(5531,6459)
(29208,29430)
(27114,1173)
(12654,523)
(25001,2463)
(19387,27678)
(22719,25520)
(25037,5721)
(2303,26979)
(9123,5452)
(1798,9706)
(21620,12514)
(1638,7333)
(20468,25747)
(10500,27379)
(29906,12252)
(23998,15433)
(6277,19180)
(4689,17537)
(26696,5025)
(15482,13428)
(23395,18098)
(32348,23754)
(6829,22830)
(27170,29457)
(335,1573)
(10469,11533)
(6858,25764)
(2256,9807)
(16956,6631)
(13954,17417)
(18143,31691)
(9651,2849)
(14802,14210)
(27931,7300)
(18716,20618)
(6543,19389)
(19438,3040)
(15470,966)
(25640,7025)
(14651,28190)
(22815,7633)
(5771,4123)
(3997,17967)
(22050,21122)
(17194,16521)
(6233,10069)
(25738,9756)
(3779,16876)
(16775,5663)
(527,5447)
(23025,18096)
(28464,3235)
(1506,8719)
(32700,12875)
(20806,17418)
(24978,14513)
(12443,27576)
(16832,6589)
(29430,13674)
(28324,16485)
(5447,12511)
(25937,28798)
(23261,10167)
(20019,24786)
(20269,10282)
(11511,15218)
(5327,10234)
(18341,30798)
(9673,21414)
(2319,17922)
(26896,24033)
(25199,29939)
(16716,25410)
(28748,6299)
(30940,13885)
(26269,21281)
(12058,10066)
(2097,32557)
(10976,7556)
(11598,11258)
(13899,4877)
(7577,8109)
(26558,19024)
(16693,21477)
(31786,20239)
(27951,8339)
(9869,6110)
(20250,2316)
(30905,23512)
(15350,24412)
(18775,28816)
(26199,12765)
(15147,17483)
(16323,14089)
(18842,18540)
(2395,11149)
(32361,24623)
(22461,22174)
(13511,10138)
(3626,10384)
(3470,9905)
(5348,10149)
(30918,17642)
(20186,7971)
(30827,4320)
(4743,17577)
(111,12363)
(10776,18370)
(6147,3120)
(7885,32699)
(8211,3413)
(21409,11186)
(25359,31992)
(13101,30960)
(20977,24000)
(29898,17273)
(4732,20724)
(15606,17632)
(17089,23531)
(7417,9568)
(5608,8644)
(13768,9001)
(11821,25943)
(553,17400)
(22569,26474)
(3096,17642)
(2899,29993)
(4457,15506)
(21446,15056)
(23472,9033)
(2373,11947)
(20318,13765)
(30588,10304)
(30252,26094)
(23432,30667)
(2237,19948)
(23226,4586)
(15230,22917)
(22168,9114)
(21202,6566)
(16933,8802)
(17004,30271)
(23651,11470)
(23547,12884)
(29717,20255)
(20749,30290)
(6345,65)
(3117,21663)
(23830,27389)
(9551,31860)
(3619,22384)
(30063,3823)
(1128,18620)
(3444,19044)
(29113,8957)
(5210,32757)
(20608,28031)
(20624,1890)
(22602,1326)
(24735,9506)
(7045,21325)
(26381,5810)
(12935,23659)
(11649,14637)
(6099,15251)
(807,32285)
(6552,24004)
(23126,8848)
(1147,4512)
(26993,23663)
(27542,16232)
(21259,29196)
(12737,23848)
(6478,28666)
(14352,29487)
(24733,28961)
(21917,17602)
(17784,11537)
(31879,28946)
(18848,16535)
(12346,8299)
(7292,25742)
(12529,4525)
(17084,1784)
(122,7168)
(24892,31310)
(9273,30916)
(12075,12052)
(18544,27079)
(21356,11183)
(10430,4027)
(12604,13947)
(25061,1255)
(26646,26137)
(4304,4124)
(2771,3078)
(25300,1003)
(21014,11634)
(31542,7701)
(19943,32335)
(20973,31555)
(23198,4776)
(28586,29431)
(23811,14900)
(11030,28611)
(2483,14891)
(19290,6073)
(15302,22872)
(13285,22818)
(7854,29296)
(32105,12147)
(12130,162)
(8231,13436)
(22717,23151)
(4973,20963)
(12064,3772)
(1629,9937)
(3935,6181)
(5615,30187)
(9435,23189)
(9274,12164)
(6891,7955)
(13551,27664)
(32129,479)
(29478,27356)
(3338,1726)
(17501,26877)
(2453,18322)
(3261,25735)
(14648,28973)
(2208,8191)
(11695,615)
(24401,31250)
(3399,366)
(21266,28038)
(25339,7006)
(12900,19826)
(14812,25106)
(28290,4522)
(1974,7225)
(31535,18302)
(10992,23468)
(23473,31396)
(32692,19967)
(286,10866)
(20560,31573)
(24022,8016)
(9436,26489)
(21073,13422)
(13853,18731)
(22299,27058)
(1962,19384)
(2076,20981)
(27981,3790)
(29981,12654)
(32684,22669)
(23432,24686)
(17449,11745)
(11631,17998)
(3078,17680)
(2512,166)
(20173,1679)
(2584,2752)
(1007,4122)
(2277,31053)
(16299,28163)
(17936,7766)
(5937,32459)
(3051,10613)
(4104,13551)
(14791,6212)
(7853,11012)
(22458,2838)
(30845,15878)
(6047,20965)
(15572,8686)
(26461,17804)
(14711,9346)
(30829,16694)
(20015,4721)
(24726,20503)
(13239,29343)
(14331,25434)
(10712,3006)
(22616,9306)
(20691,26654)
(8585,14100)
(12799,19398)
(26444,221)
(15283,20675)
(27719,18256)
(13414,7616)
(3661,15243)
(26901,27351)
(2013,17819)
(6886,18599)
(27371,9268)
(28682,23975)
(14563,13477)
(27623,3513)
(15340,30476)
(12919,16387)
(1386,8902)
(6891,14074)
(13766,24362)
